# rho theta Phi
5.656854249492380582e+00 -2.356194490192344837e+00 6.186832904815673828e+00
4.472135954999579610e+00 -2.034443935795702707e+00 6.347255229949951172e+00
4.000000000000000000e+00 -1.570796326794896558e+00 6.411571502685546875e+00
4.472135954999579610e+00 -1.107148717794090409e+00 6.347053050994873047e+00
5.656854249492380582e+00 -7.853981633974482790e-01 6.186245441436767578e+00
7.211102550927978250e+00 -5.880026035475675039e-01 5.978859424591064453e+00
8.944271909999159220e+00 -4.636476090008060935e-01 5.752340316772460938e+00
1.077032961426900748e+01 -3.805063771123649019e-01 5.518350124359130859e+00
1.264911064067351809e+01 -3.217505543966421855e-01 5.282210826873779297e+00
1.456021977856103611e+01 -2.782996590051113328e-01 5.047163009643554688e+00
1.649242250247064234e+01 -2.449786631268641435e-01 4.816149234771728516e+00
1.843908891458577415e+01 -2.186689458739419500e-01 4.592635154724121094e+00
2.039607805437113797e+01 -1.973955598498807473e-01 4.380639553070068359e+00
2.236067977499789805e+01 -1.798534997924782775e-01 4.181703567504882812e+00
2.433105012119287736e+01 -1.651486774146268266e-01 3.982780694961547852e+00
2.630589287593181069e+01 -1.526493283952651547e-01 3.772577762603759766e+00
2.828427124746190202e+01 -1.418970546041639358e-01 3.626899719238281250e+00
3.026549190084311292e+01 -1.325515322966740184e-01 3.567054986953735352e+00
3.224903099319419653e+01 -1.243549945467614382e-01 3.538676500320434570e+00
3.423448553724738019e+01 -1.171087445668642785e-01 3.517309427261352539e+00
3.622154055254966920e+01 -1.106572211738956479e-01 3.497537136077880859e+00
3.820994634908559817e+01 -1.048769387302338901e-01 3.478347778320312500e+00
4.019950248448355978e+01 -9.966865249116202419e-02 3.459549903869628906e+00
4.219004621945797595e+01 -9.495170634275632016e-02 3.441100120544433594e+00
4.418144406874904462e+01 -9.065988720074510954e-02 3.422982454299926758e+00
4.617358552246078318e+01 -8.673833867598511327e-02 3.405186414718627930e+00
4.816637831516918311e+01 -8.314123188844123324e-02 3.387702226638793945e+00
5.015974481593781320e+01 -7.982998571223731687e-02 3.370521068572998047e+00
5.215361924162119323e+01 -7.677189126977804201e-02 3.353634119033813477e+00
5.414794548272353580e+01 -7.393903765794034022e-02 3.337032794952392578e+00
5.614267539047279598e+01 -7.130746478529031984e-02 3.320708990097045898e+00
5.813776741499453493e+01 -6.885648930104459886e-02 3.304655075073242188e+00
6.013318551349163243e+01 -6.656816377582380762e-02 3.288863182067871094e+00
6.212889826803626647e+01 -6.442683942555355037e-02 3.273325920104980469e+00
6.412487816752559411e+01 -6.241880999595735002e-02 3.258036136627197266e+00
6.612110101926616323e+01 -6.053201978210713541e-02 3.242987155914306641e+00
6.811754546370561059e+01 -5.875582271572269560e-02 3.228172063827514648e+00
7.011419257183241882e+01 -5.708078240626460187e-02 3.213584423065185547e+00
7.211102550927978427e+01 -5.549850524571683236e-02 3.199218511581420898e+00
7.410802925459562118e+01 -5.400150037596829211e-02 3.185067653656005859e+00
7.610519036176178531e+01 -5.258306161094172121e-02 3.171126604080200195e+00
7.810249675906653977e+01 -5.123716740341881237e-02 3.157389402389526367e+00
8.009993757800314995e+01 -4.995839572194275824e-02 3.143851041793823242e+00
8.209750300709517035e+01 -4.874185130993159004e-02 3.130506038665771484e+00
8.409518416651455652e+01 -4.758310327698339615e-02 3.117349624633789062e+00
8.609297300012353560e+01 -4.647813135100294091e-02 3.104376792907714844e+00
8.809086218218095610e+01 -4.542327942157701332e-02 3.091582775115966797e+00
9.008884503644166841e+01 -4.441521524691083300e-02 3.078963041305541992e+00
9.208691546577070142e+01 -4.345089539153083880e-02 3.066513538360595703e+00
9.408506789071260812e+01 -4.252753461978420191e-02 3.054229736328125000e+00
9.608329719571450767e+01 -4.164257909858842116e-02 3.042107582092285156e+00
9.808159868191383168e+01 -4.079368286786540232e-02 3.030143499374389648e+00
1.000799680255744306e+02 -3.997868712329004370e-02 3.018333196640014648e+00
1.020784012413987654e+02 -3.919560192705471430e-02 3.006673336029052734e+00
1.040768946500615044e+02 -3.844259002118798063e-02 2.995160102844238281e+00
1.060754448494089530e+02 -3.771795246686421299e-02 2.983790159225463867e+00
1.080740486888503682e+02 -3.702011587393002484e-02 2.972560167312622070e+00
1.100727032465361077e+02 -3.634762101902066361e-02 2.961467027664184570e+00
1.120714058089752001e+02 -3.569911267932397020e-02 2.950507402420043945e+00
1.140701538527935952e+02 -3.507333053322536642e-02 2.939678192138671875e+00
1.160689450283752677e+02 -3.446910099950801359e-02 2.928977012634277344e+00
1.180677771451635323e+02 -3.388532990411760593e-02 2.918400526046752930e+00
1.200666481584290750e+02 -3.332099587824719628e-02 2.907945871353149414e+00
1.220655561573370278e+02 -3.277514440407577195e-02 2.897610902786254883e+00
1.240644993541665855e+02 -3.224688243525392073e-02 2.887392759323120117e+00
1.260634760745553962e+02 -3.173537352845790666e-02 2.877288818359375000e+00
1.280624847486569706e+02 -3.123983343026827744e-02 2.867296934127807617e+00
1.300615239031128567e+02 -3.075952607046922999e-02 2.857414484024047852e+00
1.320605921537534186e+02 -3.029375991877510110e-02 2.847639322280883789e+00
1.340596881989511360e+02 -2.984188466710937723e-02 0.000000000000000000e+00
1.360588108135596030e+02 -2.940328820400511453e-02 0.000000000000000000e+00
1.380579588433785432e+02 -2.897739385156133246e-02 0.000000000000000000e+00
1.400571312000927833e+02 -2.856365783875999473e-02 0.000000000000000000e+00
1.420563268566380941e+02 -2.816156698789242310e-02 0.000000000000000000e+00
1.440555448429528553e+02 -2.777063659342103585e-02 0.000000000000000000e+00
1.460547842420781421e+02 -2.739040847486253621e-02 0.000000000000000000e+00
1.480540441865739751e+02 -2.702044918726478895e-02 0.000000000000000000e+00
1.500533238552215494e+02 -2.666034837459795373e-02 0.000000000000000000e+00
1.520526224699856925e+02 -2.630971725292219343e-02 0.000000000000000000e+00
1.540519392932137066e+02 -2.596818721155638721e-02 0.000000000000000000e+00
1.560512736250492765e+02 -2.563540852167748088e-02 0.000000000000000000e+00
1.580506248010427726e+02 -2.531104914284831170e-02 0.000000000000000000e+00
1.600499921899404399e+02 -2.499479361892015944e-02 0.000000000000000000e+00
1.620493751916371821e+02 -2.468634205559940703e-02 0.000000000000000000e+00
1.640487732352790147e+02 -2.438540917271853764e-02 0.000000000000000000e+00
1.660481857775025389e+02 -2.409172342492130886e-02 0.000000000000000000e+00
1.680476123008000400e+02 -2.380502618506994197e-02 0.000000000000000000e+00
1.700470523119998063e+02 -2.352507098521691362e-02 0.000000000000000000e+00
1.720465053408525478e+02 -2.325162281046291510e-02 0.000000000000000000e+00
1.740459709387149303e+02 -2.298445744145207956e-02 0.000000000000000000e+00
1.760454486773230940e+02 -2.272336084164106387e-02 0.000000000000000000e+00
1.780449381476485655e+02 -2.246812858582547187e-02 0.000000000000000000e+00
1.800444389588303977e+02 -2.221856532671906068e-02 0.000000000000000000e+00
1.820439507371777381e+02 -2.197448429666255809e-02 0.000000000000000000e+00
1.840434731252374547e+02 -2.173570684179266729e-02 0.000000000000000000e+00
1.860430057809215327e+02 -2.150206198623113435e-02 0.000000000000000000e+00
1.880425483766905472e+02 -2.127338602406120271e-02 0.000000000000000000e+00
1.900421005987883802e+02 -2.104952213704643083e-02 0.000000000000000000e+00
1.920416621465248568e+02 -2.083032003621708428e-02 0.000000000000000000e+00
1.940412327316026904e+02 -2.061563562560375998e-02 0.000000000000000000e+00
1.960408120774855263e+02 -2.040533068653808610e-02 0.000000000000000000e+00
